controlador,e_ss_mean,e_ss_std,overshoot_pct_mean,overshoot_pct_std,rmse_mean,rmse_std,settling_time_s_mean,settling_time_s_std
PI,16987.241169642853,14.743332592293324,0.0,0.0,17079.699123053306,12.293482318628293,,
PID,10.6,24.24469556744103,10.976470588235294,0.5083172735167029,1993.9384158235123,5.669066870202588,1.1000000000000003,2.278129578503827e-16
LQR/LQI,-93.5059523809523,11.792247436100752,3.0647058823529414,0.37344956607421553,2773.4422039175834,6.475990375640875,0.6999999999999996,1.1390647892519134e-16
